,Index,Original File,Original Method,Original Method Time,Original Method Result,Original Method File,Assertion,Time Difference,New Method File,New Method,New Method Time,New Method Result,New Result File
0,117,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrLRetSafe,2.741582,Correct,./results/OrLRetSafe_0.txt,"assert Evaluator(r,s).interpretShortcircuit(Or(e,e'),e,e',true) == base.Ok(Value.Primitive(Primitive.Bool(true)));
",,./results/OrLRetSafe_fix_117.dfy,OrLRetSafe,3.167144,Errors,./results/OrLRetSafe_117.txt
1,46,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrTrueStrong,2.212327,Correct,./results/OrTrueStrong_0.txt,"assert Evaluator(r,s).interpretShortcircuit(Or(e1,e2),e1,e2,true) == base.Ok(Value.Bool(true));
",,./results/OrTrueStrong_fix_46.dfy,OrTrueStrong,2.522678,Errors,./results/OrTrueStrong_46.txt
2,887,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/decimal.dfy,ParseDigitsAndDot,0.585048,Correct,./results/ParseDigitsAndDot_0.txt,"assert (s1+"".""+s2)[1..] == "".""+s2;
",,./results/ParseDigitsAndDot_fix_887.dfy,ParseDigitsAndDot,0.607539,Errors,./results/ParseDigitsAndDot_887.txt
3,77,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/model.dfy,AndLRetSafe,2.427302,Correct,./results/AndLRetSafe_0.txt,"assert Evaluator(r,s).interpretShortcircuit(And(e,e'),e,e',false) == base.Ok(Value.Primitive(Primitive.Bool(false)));
",,./results/AndLRetSafe_fix_77.dfy,AndLRetSafe,3.142929,Errors,./results/AndLRetSafe_77.txt
4,5,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/subtyping.dfy,LubUndefUbUndef,1.155167,Correct,./results/LubUndefUbUndef_0.txt,"assert lubRecordType(rt1, rt2, ValidationMode.Strict).Err?;
",,./results/LubUndefUbUndef_fix_5.dfy,LubUndefUbUndef,1.15831,Errors,./results/LubUndefUbUndef_5.txt
5,788,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/soundness.dfy,SoundArith,7.420007,Correct,./results/SoundArith_0.txt,"assert TC.inferArith2(op,e1,e2,effs) == types.Ok(Type.Int);
",,./results/SoundArith_fix_788.dfy,SoundArith,7.147276,Errors,./results/SoundArith_788.txt
6,89,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/model.dfy,AndRShortSafe,2.483498,Correct,./results/AndRShortSafe_0.txt,"assert Evaluator(r,s).interpretShortcircuit(And(e,e'),e,e',false) == base.Ok(Value.Primitive(Primitive.Bool(false)));
",,./results/AndRShortSafe_fix_89.dfy,AndRShortSafe,3.005127,Errors,./results/AndRShortSafe_89.txt
7,855,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/strict_soundness.dfy,StrictGetLubRecordType,1.022444,Correct,./results/StrictGetLubRecordType_0.txt,"assert forall et <- lub.tys :: et in ets.types;
",,./results/StrictGetLubRecordType_fix_855.dfy,StrictGetLubRecordType,1.088295,Errors,./results/StrictGetLubRecordType_855.txt
8,13,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/subtyping.dfy,LubIsUB,1.804894,Correct,./results/LubIsUB_0.txt,"assert rt'.attrs[k] == lubAttrType(rt1'.attrs[k],rt2'.attrs[k],m);
",,./results/LubIsUB_fix_13.dfy,LubIsUB,1.93223,Errors,./results/LubIsUB_13.txt
9,27,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/model.dfy,OrLShortSafe,1.704221,Correct,./results/OrLShortSafe_0.txt,"assert Evaluator(r,s).interpretShortcircuit(Or(e,e'),e,e',true) == Evaluate(e,r,s);
",,./results/OrLShortSafe_fix_27.dfy,OrLShortSafe,1.969853,Errors,./results/OrLShortSafe_27.txt
